longitude,latitude,
78.59551,20.77272,
78.59482,20.77376,
78.5942,20.77477,
78.59388,20.77515,
78.59268,20.77697,
78.59255,20.7772,
78.59249,20.77733,
78.59243,20.77753,
78.59241,20.77757,
78.59229,20.77819,
78.59214,20.77927,
78.59185,20.78174,
78.59181,20.78199,
78.5918,20.7821,
78.5917,20.7829,
78.59167,20.78308,
78.5916,20.78376,
78.59165,20.78399,
78.59169,20.78412,
78.59194,20.78503,
78.59196,20.78513,
78.59204,20.78545,
78.5923,20.78631,
78.59259,20.78736,
78.5926,20.78738,
78.59284,20.78824,
78.5929,20.78843,
78.59355,20.79072,
78.5937,20.79129,
78.59378,20.79154,
78.5938,20.7917,
78.5938,20.79192,
78.59381,20.79222,
78.59378,20.79289,
78.59376,20.79371,
78.5937,20.79476,
78.59365,20.79648,
78.5936,20.79762,
78.59359,20.79775,
78.59358,20.79836,
78.59355,20.79926,
78.59353,20.79946,
78.59351,20.80008,
78.59348,20.80016,
78.59347,20.8002,
78.59345,20.80114,
78.59343,20.8012,
78.59342,20.80125,
78.5934,20.8013,
78.59335,20.80135,
78.59321,20.80147,
78.59305,20.80149,
78.59301,20.80151,
78.59195,20.80111,
78.59101,20.80081,
78.59015,20.80055,
78.59,20.8005,
78.58996,20.8005,
78.58882,20.80025,
78.58849,20.80017,
78.58804,20.80004,
78.58771,20.79997,
78.58737,20.79992,
78.58405,20.7987,
78.57758,20.79642,
78.57722,20.7963,
78.57704,20.79623,
78.56947,20.79353,
78.5664,20.79248,
78.5653,20.79216,
78.56417,20.79185,
78.56182,20.79124,
78.56099,20.79108,
78.55922,20.7907,
78.55682,20.79028,
78.55658,20.79023,
78.55548,20.79006,
78.55435,20.78991,
78.55375,20.78986,
78.55259,20.78972,
78.55067,20.78952,
78.55016,20.7895,
78.54862,20.78941,
78.54683,20.78934,
78.54551,20.78932,
78.54398,20.78933,
78.54241,20.78937,
78.54202,20.78939,
78.54139,20.78939,
78.54029,20.78943,
78.53887,20.78943,
78.53825,20.78947,
78.53736,20.78947,
78.5351,20.78953,
78.53485,20.78953,
78.53224,20.78959,
78.53145,20.78959,
78.52673,20.78967,
78.52659,20.78968,
78.52525,20.78967,
78.52437,20.78964,
78.52408,20.78962,
78.52368,20.78961,
78.52298,20.78962,
78.52278,20.78963,
78.52163,20.78964,
78.51993,20.78972,
78.51931,20.78973,
78.51811,20.78981,
78.51378,20.7899,
78.51346,20.7899,
78.5114,20.78994,
78.50975,20.78995,
78.50803,20.78999,
78.5079,20.79,
78.50765,20.79,
78.50628,20.79003,
78.5038,20.79002,
78.50132,20.79004,
78.49707,20.79016,
78.4962,20.79021,
78.49611,20.79021,
78.49592,20.79023,
78.49438,20.79034,
78.49419,20.79036,
78.49351,20.7904,
78.49343,20.79041,
78.49342,20.79041,
78.49294,20.79047,
